Relation.source	Relation.target
DNAJB1	HSPA8
HSPA1B	TP53
CEBPB	MYC
BRCA1	MYC
VAV1	RAF1
SP1	SMAD4
TBP	MCM2
HIF1A	HSP90AA1
MAPK8	PAK1
NFKB1	RELA
EEF1G	MED31
LYN	CDC2
CTNNB1	RUVBL2
ACTL6A	EWSR1
RAF1	VAV1
XRCC6	HD
MYC	EFTUD2
CTNNB1	SKP1A
PAK1	HSP90AA1
PCBP1	HNRPH1
YWHAZ	XRCC6
EGFR	SNRPD2
IKBKB	CALM1
VAV1	EGFR
CDC2	UBB
TUBA2	MYC
TP53	SP1
RBBP4	HDAC1
MAP3K14	IKBKB
HSP90AA1	TP53
EGFR	HSPA1B
DNAJB1	UBB
SMAD2	UBB
SNRPD2	HNRPK
HSP90AA1	SRC
PXN	EWSR1
HSP90AA1	STAT3
MAP3K14	DNAJB1
HRAS	RAF1
CEBPB	NR3C1
IRS1	PTPN11
RAF1	PAK1
CALM1	HSP90AA1
PREI3	SETDB1
CHD4	PAK1
MAPK8	JUN
CCDC85B	PREI3
FHL3	PAK1
RB1	HIF1A
YWHAB	KRT18
SMAD4	SMAD3
NFKB1	RUVBL2
SRC	YWHAE
HSP90AA1	CSNK2A1
PTK2	IRS1
RXRA	TRIM24
RB1	JUN
EGFR	HSPA8
IKBKG	HSPA9B
GTF2F1	MYC
BCL3	HSP90AA1
MYC	PRPF6
RIPK1	HSP90AA1
CREBBP	EWSR1
SKP1A	RPS27A
SMAD2	PAK1
CBL	NOVA2
MAPK3	JUN
MAPK14	GRB2
MYOD1	HDAC1
IKBKG	SRC
DAXX	HDAC1
NR3C1	HSP90AA1
MYOG	SRF
IKBKB	HSP90AA1
CHUK	HSP90AB1
TP53	XRCC6
SMAD2	HSPA1B
IKBKB	CTNNB1
RPS27A	EIF3S6
PAK1	MAPK8
CREBBP	HIF1A
HD	EGFR
MYC	PIK3CG
MYC	PSMD2
PSMA1	CCDC85B
HSP90AA1	MYC
NR3C1	RELA
BCL3	PIK3CG
MYC	YWHAQ
EGFR	PIK3R1
UBA52	PSMD4
CDC2	UBA52
SNRPD2	EEF1G
TP53	HD
CREBBP	CSNK2A1
IKBKG	RIPK1
NCK2	EEF1G
MAPK1	VAV1
TP53	ERCC3
MYC	EIF3S6
YWHAH	SRC
SKP2	MYC
TBP	TP53
BCL3	HSPA5
SMAD2	UBA52
GRB2	RUVBL2
PML	TRIM24
KHDRBS1	CREBBP
CREBBP	RBBP4
HNRPH1	HNRPK
HTATIP	BCL3
YWHAZ	TP53
PLK1	UBB
BRCA1	SMAD4
XPO1	CRK
RELA	UBB
PAK1	CSNK2A1
IKBKG	CALM3
CBL	YWHAB
CREBBP	CHUK
SSRP1	SRF
MYC	HDAC1
TRIM24	NR3C1
EGFR	HSP90AB1
EGFR	MAP3K14
MAP3K14	HSP90AA1
CREBBP	CREB1
BRCA1	STAT1
IKBKB	HSPA8
MYC	IKBKAP
MYC	RFC5
SMAD4	RBL1
PXN	NONO
PAK1	RELA
GRB2	HNRPK
MYC	EIF4A1
FOS	JUN
SMAD2	KHDRBS1
CDC6	RPS27A
EWSR1	DNAJB1
PTK2	EGFR
PAK1	TRIM28
EGFR	YWHAZ
MYC	RUVBL2
SMAD2	NOVA2
RBBP4	BRCA1
CBL	EGFR
NOVA2	PIK3R1
HNRPK	NCK2
RELA	HSPA1B
GRB2	HNRPF
SMAD4	HSPA1B
MYOD1	CALM1
ELK1	FOS
RUVBL2	BCL3
EGFR	CALM1
EGFR	HSPA5
MAP3K14	CHUK
BRCA1	RBBP4
RELA	STAT3
SMAD2	MYC
PREI3	RIF1
PML	JUN
IKBKB	MAP3K14
SMAD3	MYC
CHUK	HSPA1B
MYC	KPNB1
MAPK1	SHC1
SHC1	EGFR
HSPA9B	TP53
MYC	DNAJB1
TBP	NR3C1
CHUK	CTNNB1
RELA	HSPA5
NCOR2	SRF
PAK1	EIF3S2
MYC	EIF3S2
MAPK14	PAK1
NOVA2	CREBBP
SMAD2	SMAD4
MYOD1	CREBBP
IKBKB	HSPA5
GRB2	EIF4A1
HNRPK	KHDRBS1
MYC	PPP1CA
HSP90AA1	CALM1
PLK1	UBA52
EGFR	STAT1
DAXX	CREBBP
EGFR	PTPN11
BRCA1	NFKB1
ERCC3	TP53
MAX	MYC
HDAC1	NCOR2
CDC6	MYC
MAPK8	MYC
BCL3	HSPA8
GRB2	PIK3CG
RELA	HSPA9B
MAPK1	PAK1
CHUK	CALM3
PSMD2	RIF1
EP300	TP53
HD	SP1
TP53	SKP2
SRC	YWHAB
PREI3	MCM2
SNRPD2	HNRPA0
CDH1	EGFR
TP53	PML
PAK1	ACTL6A
RELA	CSNK2A1
YWHAH	PAK1
JUN	STAT3
IKBKG	PIK3CG
TP53	MAPK8
RELA	CHUK
SHC1	IRS1
UBA52	CDC6
CREBBP	IKBKG
PXN	XRCC6
MAPK14	MYC
KHDRBS1	GRB2
RB1	MYC
SKP1A	CTNNB1
IRS1	PIK3R1
PLK1	RPS27A
HNRPA0	HNRPH1
EGFR	CALM3
RELA	CALM1
YWHAH	CREBBP
PRPF6	SNRPD2
SMAD4	DNAJB1
ACTL6A	MYC
RAF1	SRC
PRPF6	HNRPH1
NOVA2	HNRPK
NR3C1	SMAD3
CREBBP	NR3C1
TP53	HSP90AA1
MYC	CDC2
IKBKG	TRIM28
EGFR	GRB2
RPS27A	EIF4A1
GRB2	EEF1G
POLR2B	SNRPD2
SNCA	CALM1
MYC	YWHAE
POLR2A	HNRPH1
EGFR	ERBB2
MYC	SKP1A
PRKCA	TP53
RELA	JUN
HMGA1	JUN
MYC	PCBP1
RPS27A	EIF3S2
SMAD2	RPS27A
UBB	PSMD4
SP1	SHC1
GTF2F1	HNRPH1
TP53	HDAC1
POLR2A	SNRPD2
IKBKG	TUBA2
HSP90AB1	PIK3CG
GRB2	KHDRBS1
MYC	ERCC3
PRPF6	NR3C1
HSP90AA1	IKBKG
IKBKG	HSPA8
ELK1	SNCA
BCL3	SHC1
RELA	HSP90AB1
RFC5	HSPA1B
SRC	IKBKB
YWHAE	CALM1
CREBBP	NCOA1
MYC	NONO
CREBBP	IKBKB
SMAD4	SQSTM1
TRIM28	TRIM24
MYC	IRS1
HSPA8	HSP90AA1
MAPK14	JUN
SRC	KHDRBS1
SMAD4	MAX
SMAD4	SMAD2
HTATIP	MYC
YWHAQ	CBL
PIK3CG	PIK3R1
EGFR	PDGFRB
EGFR	RIPK1
BRCA1	PAK1
TP53	EP300
IKBKG	XPO1
SKP1A	UBB
GRB2	NONO
MYC	XRCC5
TBP	HD
NOVA2	GRB2
RFC5	TRIM24
KPNB1	TP53
GRB2	RUVBL1
HSP90AA1	HIF1A
CBL	YWHAQ
RUVBL1	CTNNB1
RAF1	HSP90AB1
IKBKAP	MAP3K14
IKBKG	UBB
SRC	NOVA2
CREBBP	BCL3
SNRPD2	PCBP1
SMAD2	TRIM24
UBB	CDC6
NCOA1	STAT3
EFTUD2	SNRPD2
CHUK	MAP3K14
GAPDH	HTATIP
TP53	CEBPB
EGFR	TRIM24
ELK4	SRF
EGFR	PAK1
PRKCA	EGFR
PREI3	MED31
SP1	MYC
SMAD4	SP1
RPS27A	CDC6
SNRPD2	HTATIP
GRB2	NOVA2
HSP90AA1	ERBB2
MAX	SMAD4
PPP1CA	TP53
BCL3	CALM3
PAK1	RAF1
PML	STAT3
MYOG	CALM1
EGFR	PTK2B
PAK1	MAPK14
CREB1	CHD4
RBL1	MYC
NFKB1	STAT3
ELK1	MAPK3
JUN	SP1
MYC	POLR2B
EGFR	UBA52
GRB2	IRS1
ELK4	EWSR1
MAPK1	JUN
MYC	POLR2A
ASCC3L1	HNRPH1
TP53	CDC2
MYC	EEF1G
EGFR	STAT3
BCL3	HSPA1B
TP53	CREBBP
PTPN11	IRS1
RAF1	MYC
CHUK	HSP90AA1
PLSCR1	EGFR
CDC2	TP53
IKBKG	CALM1
HNRPF	HNRPH1
TUBA2	PXN
PXN	XRCC5
RELA	NR3C1
MYOD1	HSP90AA1
SRF	FHL3
YWHAH	RAF1
SMAD4	UBA52
MYC	XRCC6
POLR2B	HNRPH1
NFKB1	CREBBP
GRB2	XRCC6
EFTUD2	HNRPH1
KHDRBS1	HNRPK
MAP3K14	RUVBL1
IKBKG	HSPA1B
RXRA	SRF
HD	TP53
YWHAB	SRC
UBB	IKBKG
NFKB1	CTNNB1
MYC	ASCC3L1
PIK3R1	IRS1
MYC	HNRPA0
BCL3	HSP90AB1
POLR2A	SSRP1
IKBKG	HSP90AB1
EGFR	BCAR3
SMAD4	PAK1
HSP90AB1	XPO1
SP1	HSPA8
MAP3K14	TUBA2
HDAC1	NFKB1
YWHAZ	IRS1
BCL3	CALM1
ASCC3L1	SNRPD2
EWSR1	PCBP1
BCAR3	PCBP1
NR3C1	STAT3
DNAJB1	RPS27A
CREB1	HTATIP
NR3C1	RAF1
BCL3	SKP1A
JUN	SMAD2
MYC	RUVBL1
KRT18	YWHAB
MYC	MCM7
DNAJB1	UBA52
MYC	SQSTM1
NCK2	EGFR
RELA	HSPA8
MYC	PML
KHDRBS1	PIK3R1
HSP90AA1	HSPA8
SRC	MAPK8
CTNNB1	SMAD3
EGFR	CRK
MAPK1	MYC
SMAD4	FUBP1
CREBBP	JUN
SMAD4	UBB
CDH1	HSP90AA1
SMAD4	CEBPB
HDAC1	RBBP4
TBP	NCOA1
HMGA1	SRF
EGFR	LYN
PAK1	RUVBL1
GRB2	TUBA1
HDAC1	DAXX
HNRPK	SRC
MYC	PSMA1
RAF1	HRAS
SMAD3	SMAD4
PIK3R1	HNRPK
SMAD4	EP300
HSPA8	DNAJB1
TBP	MYC
MYC	YWHAB
PAK1	PSMA2
TP53	HSPA1B
XRCC6	VAV1
CHD4	NR3C1
HNRPK	VAV1
XPO1	STAT1
BCL3	RELA
YWHAE	SRC
TUBA1	MYC
MAP3K14	RUVBL2
KHDRBS1	SRC
IKBKB	HSPA1B
MYC	YY1
IKBKG	MAP3K14
CHD4	HD
EGFR	GAPDH
MYC	PLK1
BRCA1	STAT3
EP300	MYC
CDC6	UBB
EGFR	CTNNB1
PREI3	ELK1
JUN	SMAD3
BRCA1	TP53
EGFR	UBB
RELA	MYC
SNRPD2	HNRPF
YY1	TP53
SETDB1	HDAC1
GTF2F1	SNRPD2
EGFR	HRAS
PAK1	YWHAH
RBBP4	XRCC6
VAV1	XRCC6
HNRPH1	HNRPF
SRC	HNRPK
BRCA1	JUN
CHUK	IRS1
MYC	HNRPK
IKBKG	MCM7
SMAD4	CREBBP
CHUK	RELA
IKBKB	CALM3
PAK1	PSMA1
HDAC1	BCL3
YWHAZ	RBL1
EGFR	SRC
CTNNB1	BCL3
MYC	FUBP1
MYC	PSMA2
PAK1	TUBA2
RELA	CALM3
PAK1	NFKB1
IKBKG	IRS1
CHUK	CALM1
IKBKG	HSPA5
MYC	PSMD4
PDGFRB	RAF1
DAXX	CHD4
HTATIP	STAT3
SRC	PIK3CG
SMAD4	RPS27A
CBL	KHDRBS1
CDC6	UBA52
CTNNB1	SMAD2
TBP	BCL3
MYOD1	RB1
PML	TP53
PCBP1	NOVA2
MAP3K14	IKBKG
KRT18	EGFR
RBBP4	RB1
SKP1A	UBA52
RPS27A	PSMD4
GRB2	DNAJB1
CDC2	RPS27A
IKBKG	HSP90AA1
HSP90AA1	RIPK1
EGFR	HSPA9B
CTNNB1	SMAD4
CEBPB	SMAD4
EGFR	HNRPH1
TBP	JUN
IRS1	GRB2
LYN	PIK3CG
RB1	RBBP4
JUN	STAT1
EWSR1	PTK2B
MYC	CHD4
SRC	CHUK
EWSR1	PLSCR1
JUN	MAPK8
RELA	NFKB1
CALM1	YWHAE
IKBKG	YWHAZ
YWHAZ	RAF1
EGFR	PXN
MYC	XPO1
MYC	TRIM28
IKBKB	HSP90AB1
SMAD4	TRIM24
BCL3	RUVBL2
EGFR	RPS27A
MYC	HNRPF
