Object	Object type	Relation source	Relation source type	Relation target	Relation target type
heat shock 70kDa protein 1B [Homo sapiens] interacts with tumor protein p53 [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock 70kDa protein 1B [Homo sapiens]	Protein	tumor protein p53 [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens] interacts with ribosomal protein L13 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	Protein	ribosomal protein L13 [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens] interacts with ribosomal protein S27 [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	Protein	ribosomal protein S27 [Homo sapiens]	Protein
vav 1 oncogene [Homo sapiens] interacts with v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	vav 1 oncogene [Homo sapiens]	Protein	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein
p21-activated kinase 1 [Homo sapiens] interacts with growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	p21-activated kinase 1 [Homo sapiens]	Protein	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens] interacts with ribosomal protein P0 [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	Protein	ribosomal protein P0 [Homo sapiens]	Protein
heat shock 90kDa protein 1, beta [Homo sapiens] interacts with ribosomal protein P0 [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock 90kDa protein 1, beta [Homo sapiens]	Protein	ribosomal protein P0 [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa [Homo sapiens]	Protein
translocated promoter region (to activated MET oncogene) [Homo sapiens] interacts with SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	Helper_PPI (good experimental evidence)	translocated promoter region (to activated MET oncogene) [Homo sapiens]	Protein	SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens] interacts with ribosomal protein P2 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	Protein	ribosomal protein P2 [Homo sapiens]	Protein
