Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank	Related objects (Gene elements).Object	Related objects (Gene elements).Object type	Related objects (Gene elements).Pathways
eukaryotic translation initiation factor 4B pseudogene [Homo sapiens]	Protein	EIF4BP [Homo sapiens]	0	0	0.0	EIF4BP [Homo sapiens]	Gene	
v-abl Abelson murine leukemia viral oncogene homolog 1 isoform a [Homo sapiens]	Protein	ABL1 [Homo sapiens]	61	1	1.0271526359336274	ABL1 [Homo sapiens]	Gene	Chronic myeloid leukemia [Homo sapiens];ErbB signaling pathway [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Axon guidance [Homo sapiens];Cell cycle [Homo sapiens]
beta actin [Homo sapiens]	Protein	ACTB [Homo sapiens]	126	4	1.0547845111081167	ACTB [Homo sapiens]	Gene	Adherens junction [Homo sapiens];Tight junction [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Focal adhesion [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Cell Communication [Homo sapiens];Cholera [Homo sapiens];Vibrio cholerae infection [Homo sapiens]
actin, gamma 1 propeptide [Homo sapiens]	Protein	ACTG1 [Homo sapiens]	54	3	1.0118027896457507	ACTG1 [Homo sapiens]	Gene	Adherens junction [Homo sapiens];Tight junction [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Focal adhesion [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Cell Communication [Homo sapiens];Cholera [Homo sapiens];Vibrio cholerae infection [Homo sapiens]
activin A type I receptor precursor [Homo sapiens]	Protein	ACVR1 [Homo sapiens]	57	2	1.1059292736815467	ACVR1 [Homo sapiens]	Gene	TGF-beta signaling pathway [Homo sapiens];Cytokine-cytokine receptor interaction [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	AKT1 [Homo sapiens]	73	1	0.9977823605379523	AKT1 [Homo sapiens];CAPNS1 [Homo sapiens]	Gene;Gene	Fc epsilon RI signaling pathway [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Pancreatic cancer [Homo sapiens];Insulin signaling pathway [Homo sapiens];Apoptosis [Homo sapiens];Glioma [Homo sapiens];VEGF signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Jak-STAT signaling pathway [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];Colorectal cancer [Homo sapiens];B cell receptor signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];mTOR signaling pathway [Homo sapiens];Tight junction [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];Adipocytokine signaling pathway [Homo sapiens];Prostate cancer [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Small cell lung cancer [Homo sapiens];ErbB signaling pathway [Homo sapiens];Endometrial cancer [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Renal cell carcinoma [Homo sapiens];Melanoma [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;Ceramide_pathway;EGF_PI3K_pathway_lung;IGF-1_PI3K_Akt;IL12-MMP9_pathway_blood;IL13_PI3K_AKT1_pathway_lung;Insulin-MAPK-PI3K-AKT_pathway_;muscle_angiogenesis_pathway_blood;Thrombin_PI3K_pathway_lung;
adenomatosis polyposis coli [Homo sapiens]	Protein	APC [Homo sapiens]	54	1	1.3693502364054428	APC [Homo sapiens];ATF7 [Homo sapiens];C12orf35 [Homo sapiens];C1orf31 [Homo sapiens];C2orf49 [Homo sapiens];FOXJ3 [Homo sapiens];GOPC [Homo sapiens];GRPEL2 [Homo sapiens];TTC37 [Homo sapiens];KIAA1826 [Homo sapiens];KPNA5 [Homo sapiens];KRT83 [Homo sapiens];NCOA2 [Homo sapiens];PAFAH1B1 [Homo sapiens];PHTF2 [Homo sapiens];PLAA [Homo sapiens];RBAK [Homo sapiens];RPL14 [Homo sapiens];SCRN3 [Homo sapiens];SLAIN2 [Homo sapiens];SLC30A3 [Homo sapiens];SNX13 [Homo sapiens];SPAST [Homo sapiens];SYNJ1 [Homo sapiens];TRIM23 [Homo sapiens];USP34 [Homo sapiens];ZADH2 [Homo sapiens];ZBTB6 [Homo sapiens];ZDHHC21 [Homo sapiens];ZNF252 [Homo sapiens];ZNF41 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	Regulation of actin cytoskeleton [Homo sapiens];Wnt signaling pathway [Homo sapiens];Colorectal cancer [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Endometrial cancer [Homo sapiens];Basal cell carcinoma [Homo sapiens];;;;;;;;;;;;;Ether lipid metabolism [Homo sapiens];;;;Ribosome [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;Insulin-MAPK-PI3K-AKT_pathway_;;;;;;Inositol phosphate metabolism [Homo sapiens];Phosphatidylinositol signaling system [Homo sapiens];Cholera [Homo sapiens];;;;;;
activating signal cointegrator 1 complex subunit 2 [Homo sapiens]	Protein	ASCC2 [Homo sapiens]	32	1	0.9327962318505224	ASCC2 [Homo sapiens]	Gene	
ataxin 1 [Homo sapiens]	Protein	ATXN1 [Homo sapiens]	42	2	1.2114768704858934	ATXN1 [Homo sapiens]	Gene	
BCL2-antagonist of cell death protein [Homo sapiens]	Protein	BAD [Homo sapiens]	24	1	0.929095669949528	BAD [Homo sapiens]	Gene	Apoptosis [Homo sapiens];Pancreatic cancer [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Colorectal cancer [Homo sapiens];VEGF signaling pathway [Homo sapiens];Insulin signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Endometrial cancer [Homo sapiens];Prostate cancer [Homo sapiens];ErbB signaling pathway [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Melanoma [Homo sapiens];Amyotrophic lateral sclerosis (ALS) [Homo sapiens];Neurodegenerative Diseases [Homo sapiens];IGF-1_PI3K_Akt;Insulin-MAPK-PI3K-AKT_pathway_;muscle_angiogenesis_pathway_blood;NO_ceramide_apoptosis_pathway_lung
B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Protein	BCL2 [Homo sapiens]	67	0	1.0636744527808373	BCL2 [Homo sapiens]	Gene	Focal adhesion [Homo sapiens];Prion disease [Homo sapiens];Apoptosis [Homo sapiens];Prostate cancer [Homo sapiens];Amyotrophic lateral sclerosis (ALS) [Homo sapiens];Prion diseases [Homo sapiens];Colorectal cancer [Homo sapiens];Small cell lung cancer [Homo sapiens];Neurodegenerative Diseases [Homo sapiens];CD8-T-Lymphocyte_Apoptosis_pathway_blood;NO_ceramide_apoptosis_pathway_lung;TNF-alpha-apoptosis;TNFa_T-Lymphocyte_Apoptosis_pathway_blood
