Object	Object type	Relation source	Relation source type	Relation target	Relation target type
bone morphogenetic protein receptor, type IA precursor [Homo sapiens] interacts with bone morphogenetic protein 6 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	bone morphogenetic protein receptor, type IA precursor [Homo sapiens]	Protein	bone morphogenetic protein 6 precursor [Homo sapiens]	Protein
sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A [Homo sapiens] interacts with sorbin and SH3 domain containing 2 isoform 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A [Homo sapiens]	Protein	sorbin and SH3 domain containing 2 isoform 1 [Homo sapiens]	Protein
protein kinase C, zeta isoform 2 [Homo sapiens] interacts with tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	protein kinase C, zeta isoform 2 [Homo sapiens]	Protein	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with X-linked eukaryotic translation initiation factor 1A [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	X-linked eukaryotic translation initiation factor 1A [Homo sapiens]	Protein
adenosine deaminase [Homo sapiens] interacts with adenosine A2a receptor [Homo sapiens]	Helper_PPI (good experimental evidence)	adenosine deaminase [Homo sapiens]	Protein	adenosine A2a receptor [Homo sapiens]	Protein
interleukin 2 receptor beta precursor [Homo sapiens] interacts with interleukin 2 receptor, gamma precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	interleukin 2 receptor beta precursor [Homo sapiens]	Protein	interleukin 2 receptor, gamma precursor [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein S9 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein S9 [Homo sapiens]	Protein
karyopherin beta 1 [Homo sapiens] interacts with nucleoporin 133kDa [Homo sapiens]	Helper_PPI (good experimental evidence)	karyopherin beta 1 [Homo sapiens]	Protein	nucleoporin 133kDa [Homo sapiens]	Protein
Homer, neuronal immediate early gene, 3 [Homo sapiens] interacts with dynein, light chain, LC8-type 2 [Homo sapiens]	Helper_PPI (Two-hybrid)	Homer, neuronal immediate early gene, 3 [Homo sapiens]	Protein	dynein, light chain, LC8-type 2 [Homo sapiens]	Protein
peptidylprolyl isomerase D [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class B member 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	peptidylprolyl isomerase D [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class B member 1 [Homo sapiens]	Protein
chromodomain helicase DNA binding protein 4 [Homo sapiens] interacts with karyopherin beta 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	chromodomain helicase DNA binding protein 4 [Homo sapiens]	Protein	karyopherin beta 1 [Homo sapiens]	Protein
peptide YY [Homo sapiens] interacts with meprin A, beta [Homo sapiens]	Helper_PPI (good experimental evidence)	peptide YY [Homo sapiens]	Protein	meprin A, beta [Homo sapiens]	Protein
nuclear factor kappa-B, subunit 1 [Homo sapiens] interacts with interleukin 1, beta proprotein [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor kappa-B, subunit 1 [Homo sapiens]	Protein	interleukin 1, beta proprotein [Homo sapiens]	Protein
amyloid beta A4 protein precursor, isoform a [Homo sapiens] interacts with tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	amyloid beta A4 protein precursor, isoform a [Homo sapiens]	Protein	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens] interacts with p21-activated kinase 4 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	Protein	p21-activated kinase 4 isoform 1 [Homo sapiens]	Protein
ribosomal protein L11 [Homo sapiens] interacts with mouse double minute 2 homolog isoform MDM2 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein L11 [Homo sapiens]	Protein	mouse double minute 2 homolog isoform MDM2 [Homo sapiens]	Protein
vascular endothelial growth factor isoform a precursor [Homo sapiens] interacts with secreted protein, acidic, cysteine-rich (osteonectin) [Homo sapiens]	Helper_PPI (good experimental evidence)	vascular endothelial growth factor isoform a precursor [Homo sapiens]	Protein	secreted protein, acidic, cysteine-rich (osteonectin) [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein L4 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein L4 [Homo sapiens]	Protein
beta chimerin isoform 1 [Homo sapiens] interacts with HLA-B associated transcript-3 isoform a [Homo sapiens]	Helper_PPI (Two-hybrid)	beta chimerin isoform 1 [Homo sapiens]	Protein	HLA-B associated transcript-3 isoform a [Homo sapiens]	Protein
vitamin D (1,25-dihydroxyvitamin D3) receptor [Homo sapiens] interacts with protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	Helper_PPI (good experimental evidence)	vitamin D (1,25-dihydroxyvitamin D3) receptor [Homo sapiens]	Protein	protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	Protein
cAMP-dependent protein kinase inhibitor gamma [Homo sapiens] interacts with RAB25 [Homo sapiens]	Helper_PPI (good experimental evidence)	cAMP-dependent protein kinase inhibitor gamma [Homo sapiens]	Protein	RAB25 [Homo sapiens]	Protein
toll-like receptor 2 [Homo sapiens] interacts with toll-like receptor adaptor molecule 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	toll-like receptor 2 [Homo sapiens]	Protein	toll-like receptor adaptor molecule 2 [Homo sapiens]	Protein
dual specificity phosphatase 1 [Homo sapiens] interacts with mitogen-activated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	dual specificity phosphatase 1 [Homo sapiens]	Protein	mitogen-activated protein kinase 1 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta) [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta) [Homo sapiens]	Protein
PCTAIRE protein kinase 1 [Homo sapiens] interacts with tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	PCTAIRE protein kinase 1 [Homo sapiens]	Protein	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein
growth factor independent 1B (potential regulator of CDKN1A, translocated in CML) [Homo sapiens] interacts with ret finger protein isoform alpha [Homo sapiens]	Helper_PPI (Two-hybrid)	growth factor independent 1B (potential regulator of CDKN1A, translocated in CML) [Homo sapiens]	Protein	ret finger protein isoform alpha [Homo sapiens]	Protein
eukaryotic translation initiation factor 4E binding protein 1 [Homo sapiens] interacts with eukaryotic translation initiation factor 4E member 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	eukaryotic translation initiation factor 4E binding protein 1 [Homo sapiens]	Protein	eukaryotic translation initiation factor 4E member 2 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 7 isoform A [Homo sapiens] interacts with MAD, mothers against decapentaplegic homolog 7 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 7 isoform A [Homo sapiens]	Protein	MAD, mothers against decapentaplegic homolog 7 [Homo sapiens]	Protein
plasminogen activator, tissue type isoform 1 preproprotein [Homo sapiens] interacts with annexin A2 isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	plasminogen activator, tissue type isoform 1 preproprotein [Homo sapiens]	Protein	annexin A2 isoform 2 [Homo sapiens]	Protein
Rho GTPase activating protein 5 isoform a [Homo sapiens] interacts with RAS p21 protein activator 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	Rho GTPase activating protein 5 isoform a [Homo sapiens]	Protein	RAS p21 protein activator 1 isoform 1 [Homo sapiens]	Protein
nuclear factor kappa-B, subunit 1 [Homo sapiens] interacts with huntingtin interacting protein 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor kappa-B, subunit 1 [Homo sapiens]	Protein	huntingtin interacting protein 2 [Homo sapiens]	Protein
mitogen-activated protein kinase-activated protein kinase 5 isoform 1 [Homo sapiens] interacts with tumor protein p53 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase-activated protein kinase 5 isoform 1 [Homo sapiens]	Protein	tumor protein p53 [Homo sapiens]	Protein
GATA binding protein 4 [Homo sapiens] interacts with MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C) [Homo sapiens]	Helper_PPI (good experimental evidence)	GATA binding protein 4 [Homo sapiens]	Protein	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C) [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens] interacts with erythrocyte membrane protein band 4.1-like 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein	erythrocyte membrane protein band 4.1-like 2 [Homo sapiens]	Protein
SH3-domain binding protein 1 [Homo sapiens] interacts with proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]	Helper_PPI (good experimental evidence)	SH3-domain binding protein 1 [Homo sapiens]	Protein	proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]	Protein
nuclear receptor co-repressor 2 [Homo sapiens] interacts with sphingosine kinase type 1-interacting protein [Homo sapiens]	Helper_PPI (Two-hybrid)	nuclear receptor co-repressor 2 [Homo sapiens]	Protein	sphingosine kinase type 1-interacting protein [Homo sapiens]	Protein
insulin-like growth factor binding protein 5 [Homo sapiens] interacts with insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	Helper_PPI (good experimental evidence)	insulin-like growth factor binding protein 5 [Homo sapiens]	Protein	insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	Protein
L1 cell adhesion molecule isoform 1 precursor [Homo sapiens] interacts with contactin 1 isoform 1 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	L1 cell adhesion molecule isoform 1 precursor [Homo sapiens]	Protein	contactin 1 isoform 1 precursor [Homo sapiens]	Protein
CREB binding protein [Homo sapiens] interacts with signal transducer and activator of transcription 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	CREB binding protein [Homo sapiens]	Protein	signal transducer and activator of transcription 2 [Homo sapiens]	Protein
hexokinase 2 [Homo sapiens] interacts with ubiquilin 1 isoform 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	hexokinase 2 [Homo sapiens]	Protein	ubiquilin 1 isoform 1 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens] interacts with mitogen-activated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein	mitogen-activated protein kinase 1 [Homo sapiens]	Protein
myelin basic protein isoform 1 [Homo sapiens] interacts with NIMA related kinase 9 [Homo sapiens]	Helper_PPI (good experimental evidence)	myelin basic protein isoform 1 [Homo sapiens]	Protein	NIMA related kinase 9 [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with glia maturation factor, beta [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	glia maturation factor, beta [Homo sapiens]	Protein
SMAD specific E3 ubiquitin protein ligase 2 [Homo sapiens] interacts with RAS-like, family 12 protein [Homo sapiens]	Helper_PPI (good experimental evidence)	SMAD specific E3 ubiquitin protein ligase 2 [Homo sapiens]	Protein	RAS-like, family 12 protein [Homo sapiens]	Protein
integrin alpha-V precursor [Homo sapiens] interacts with secreted phosphoprotein 1 isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	integrin alpha-V precursor [Homo sapiens]	Protein	secreted phosphoprotein 1 isoform b [Homo sapiens]	Protein
urokinase plasminogen activator preproprotein [Homo sapiens] interacts with serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5 [Homo sapiens]	Helper_PPI (good experimental evidence)	urokinase plasminogen activator preproprotein [Homo sapiens]	Protein	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5 [Homo sapiens]	Protein
low density lipoprotein-related protein 2 [Homo sapiens] interacts with mitogen-activated protein kinase 8 interacting protein 2 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	low density lipoprotein-related protein 2 [Homo sapiens]	Protein	mitogen-activated protein kinase 8 interacting protein 2 isoform 1 [Homo sapiens]	Protein
syntenin isoform 1 [Homo sapiens] interacts with putative S1 RNA binding domain protein [Homo sapiens]	Helper_PPI (good experimental evidence)	syntenin isoform 1 [Homo sapiens]	Protein	putative S1 RNA binding domain protein [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with hypothetical protein LOC388524 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	hypothetical protein LOC388524 [Homo sapiens]	Protein
erbB-2 isoform b [Homo sapiens] interacts with phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta) [Homo sapiens]	Helper_PPI (good experimental evidence)	erbB-2 isoform b [Homo sapiens]	Protein	phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta) [Homo sapiens]	Protein
MAD, mothers against decapentaplegic homolog 4 [Homo sapiens] interacts with TGF beta receptor associated protein -1 [Homo sapiens]	Helper_PPI (good experimental evidence)	MAD, mothers against decapentaplegic homolog 4 [Homo sapiens]	Protein	TGF beta receptor associated protein -1 [Homo sapiens]	Protein
mitogen-activated protein kinase 9 isoform 1 [Homo sapiens] interacts with exportin 7 [Homo sapiens]	Helper_PPI (Two-hybrid)	mitogen-activated protein kinase 9 isoform 1 [Homo sapiens]	Protein	exportin 7 [Homo sapiens]	Protein
aggrecan 1 isoform 1 precursor [Homo sapiens] interacts with lumican precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	aggrecan 1 isoform 1 precursor [Homo sapiens]	Protein	lumican precursor [Homo sapiens]	Protein
SMAD specific E3 ubiquitin protein ligase 2 [Homo sapiens] interacts with kappa B-ras 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	SMAD specific E3 ubiquitin protein ligase 2 [Homo sapiens]	Protein	kappa B-ras 1 [Homo sapiens]	Protein
small glutamine-rich tetratricopeptide [Homo sapiens] interacts with secreted phosphoprotein 1 isoform b [Homo sapiens]	Helper_PPI (Two-hybrid)	small glutamine-rich tetratricopeptide [Homo sapiens]	Protein	secreted phosphoprotein 1 isoform b [Homo sapiens]	Protein
