Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank	Related objects (Gene elements).Object	Related objects (Gene elements).Object type	Related objects (Gene elements).Pathways
alpha-2-macroglobulin precursor [Homo sapiens]	Protein	A2M [Homo sapiens]	21	4	1.6632410676398635	A2M [Homo sapiens]	Gene	Alzheimer's disease [Homo sapiens];Complement and coagulation cascades [Homo sapiens]
achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A) [Homo sapiens]	Protein	AAAS [Homo sapiens]	167	1	1.1390336016399867	AAAS [Homo sapiens];ACSF3 [Homo sapiens];APRT [Homo sapiens];C12orf52 [Homo sapiens];FBXL19 [Homo sapiens];G6PC3 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene	;;Purine metabolism [Homo sapiens];;;
ATP-binding cassette, sub-family A member 1 [Homo sapiens]	Protein	ABCA1 [Homo sapiens]	13	2	1.2152977217950267	ABCA1 [Homo sapiens]	Gene	ABC transporters [Homo sapiens]
ATP-binding cassette, sub-family F (GCN20), member 3 [Homo sapiens]	Protein	ABCF3 [Homo sapiens]	12	1	1.0506203292673233	ABCF3 [Homo sapiens]	Gene	
v-abl Abelson murine leukemia viral oncogene homolog 1 isoform a [Homo sapiens]	Protein	ABL1 [Homo sapiens]	61	1	1.0271526359336274	ABL1 [Homo sapiens]	Gene	Chronic myeloid leukemia [Homo sapiens];ErbB signaling pathway [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Axon guidance [Homo sapiens];Cell cycle [Homo sapiens]
beta actin [Homo sapiens]	Protein	ACTB [Homo sapiens]	126	4	1.0547845111081167	ACTB [Homo sapiens]	Gene	Adherens junction [Homo sapiens];Tight junction [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Focal adhesion [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Cell Communication [Homo sapiens];Cholera [Homo sapiens];Vibrio cholerae infection [Homo sapiens]
actinin, alpha 1 [Homo sapiens]	Protein	ACTN1 [Homo sapiens]	31	2	0.9289177468624069	ACTN1 [Homo sapiens]	Gene	Adherens junction [Homo sapiens];Focal adhesion [Homo sapiens];Tight junction [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens]
actin-related protein 2 isoform a [Homo sapiens]	Protein	ACTR2 [Homo sapiens]	21	2	0.982085312876671	ACTR2 [Homo sapiens]	Gene	
activin A type I receptor precursor [Homo sapiens]	Protein	ACVR1 [Homo sapiens]	57	2	1.1059292736815467	ACVR1 [Homo sapiens]	Gene	TGF-beta signaling pathway [Homo sapiens];Cytokine-cytokine receptor interaction [Homo sapiens]
activin A type IB receptor isoform a precursor [Homo sapiens]	Protein	ACVR1B [Homo sapiens]	16	1	1.0971062204522897	ACVR1B [Homo sapiens]	Gene	MAPK signaling pathway [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];TGF-beta signaling pathway [Homo sapiens];Adherens junction [Homo sapiens];Cytokine-cytokine receptor interaction [Homo sapiens];Colorectal cancer [Homo sapiens];Pancreatic cancer [Homo sapiens]
activin A type IIB receptor precursor [Homo sapiens]	Protein	ACVR2B [Homo sapiens]	15	2	1.0220139923915192	ACVR2B [Homo sapiens]	Gene	Cytokine-cytokine receptor interaction [Homo sapiens];TGF-beta signaling pathway [Homo sapiens]
adenosine deaminase [Homo sapiens]	Protein	ADA [Homo sapiens]	6	1	0.7400655098993177	ADA [Homo sapiens]	Gene	Purine metabolism [Homo sapiens];Primary immunodeficiency [Homo sapiens]
adenylate cyclase 5 [Homo sapiens]	Protein	ADCY5 [Homo sapiens]	8	1	0.5729279771718597	ADCY5 [Homo sapiens]	Gene	Long-term potentiation [Homo sapiens];Calcium signaling pathway [Homo sapiens];GnRH signaling pathway [Homo sapiens];Gap junction [Homo sapiens];Melanogenesis [Homo sapiens];Purine metabolism [Homo sapiens]
adenosine A1 receptor [Homo sapiens]	Protein	ADORA1 [Homo sapiens]	7	1	1.0455654590944066	ADORA1 [Homo sapiens]	Gene	Neuroactive ligand-receptor interaction [Homo sapiens]
adenosine A2a receptor [Homo sapiens]	Protein	ADORA2A [Homo sapiens]	7	1	0.3125123458763413	ADORA2A [Homo sapiens]	Gene	Neuroactive ligand-receptor interaction [Homo sapiens];Calcium signaling pathway [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens]
