Relation.source	Relation.target
heat shock 70kDa protein 1B [Homo sapiens]	tumor protein p53 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein L13 [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein S27 [Homo sapiens]
vav 1 oncogene [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein P0 [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	ribosomal protein P0 [Homo sapiens]
beta actin [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa [Homo sapiens]
translocated promoter region (to activated MET oncogene) [Homo sapiens]	SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein P2 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein S9 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) isoform 3 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	U2 (RNU2) small nuclear RNA auxiliary factor 2 isoform b [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein L6 [Homo sapiens]
erythropoietin receptor precursor [Homo sapiens]	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	tuberous sclerosis 2 isoform 1 [Homo sapiens]
TNF receptor-associated factor 2 [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	conserved helix-loop-helix ubiquitous kinase [Homo sapiens]
caspase 8 isoform A [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
