Gene source	Gene target
HSPA1B	TP53
NFKB2	LOC388344
IKBKG	RPS27
VAV1	RAF1
PAK1	GRB2
IKBKG	RPLP0
HSP90AB1	RPLP0
ACTB	EIF3S9
TPR	SHC1
NFKB2	RPLP2
RPS6	RPS9
YWHAG	EPB41
NCBP2	U2AF2
NFKB2	RPL6
EPOR	PIK3R1
AKT1	TSC2
TRAF2	RPL23
MAP3K1	CHUK
CASP8	MAP3K14
IKBKB	HNRPU
ITGB4BP	GNB2L1
PIK3R1	HGS
PINX1	CYCS
HIF1A	HSP90AA1
AKT1	MAP3K5
ACTB	RPLP0
RPS6	RPL18
MYOD1	RXRA
MYOD1	SP1
RPS6	RPL4
RPS6	RPL38
GRB2	RPL35A
PXN	GAPDH
MAP3K14	RIPK1
RAF1	VAV1
RPL18A	NEDD4
AKT1	PKN2
TRAF4	PLSCR1
RPS3A 	HSP90AA1
TRAF2	HSP90AA1
PXN	ACTG1
PAK1	HSP90AA1
RPS10	RPS6
IKBKB	MAP3K1
GRB2	RPS26
GRB2	RPL23
YWHAZ	MAP3K1
AKT1	HSP90AA1
VAV1	EGFR
AKT1	NCF1
CFTR	HSP90AB1
PDPK1	PKN2
TP53	SP1
IGFBP5	IGF1
HLA-B	PCNA
RELB	RPS11
PML	ZBTB16
MAP3K1	HSPA8
GSK3B	POLR2B
MAP3K14	IKBKB
SMAD3	ZBTB16
EIF2S2	TP53
TRAF4	NCF1
PIK3R1	LCK
EGFR	HSPA1B
NFKB2	HSPA1B
RAC1	PIK3R1
NCBP2	HNRPD
RPS6	LOC388524
NFKBIA	HSPA1B
BAD	EWSR1
LYN	SHC1
CDK2	RPS27A
YWHAB	ITGB1
CD4	UBA52
TNFRSF1A	UBA52
PAK1	CALM1
RPS18	RPS6
RAF1	PAK1
MAP3K7IP2	RPL23
CALM1	HSP90AA1
GRB2	RPL27
PHYHIP	TRIM24
RXRA	ZBTB16
NCBP1	NCBP2
MAPK1	TPR
AKT1	BAD
MYOD1	CALM3
RPS4X	RPS6
HSP90AA1	CSNK2A1
CCNA2	GNB2L1
TRADD	RPS27
YWHAG	IGF1R
PABPC1	HNRPK
RXRA	TRIM24
PIK3R1	GRB2
ILK	ITGB1
GRB2	RPL30
ACTB	RPS4X
UBA52	GSK3B
RPS27	RPS6
RB1	JUN
AKT1	MAP3K8
ACTB	RPS9
PPP2CA	TP53
PAFAH1B3	ZBTB16
BCL3	HSP90AA1
RIPK1	HSP90AA1
TNFRSF1B	RPL38
SP1	ZBTB16
ACTB	RPS12
TNFRSF1A	RPL23
NCBP2	EFTUD2
PCNA	PIK3CG
HSPA8	RPS27A
MAPK14	GRB2
ZBTB16	CCDC85B
ACVR1	UBA52
NR3C1	HSP90AA1
CHUK	MAP3K1
RPS6	RPL7
ZBTB16	KRTAP4-12
TBK1	RPS5
DUSP2	YWHAZ
IKBKG	RPS20
RPS6	EIF2S2
HSP90AA1	PDPK1
HSP90AA1	STAT3
PLSCR1	TRAF4
TNFRSF1A	RPS16
CUL1	GSK3B
RPS6	RPL22
YWHAE	MAP3K1
YWHAE	IGF1R
TNFRSF1A	HSPA1B
RARA	ZBTB16
PINX1	MAPKAPK2
PTK2B	PIK3R1
NFKBIB	RPL30
MAP3K14	CALM1
ABL1	YWHAZ
MYC	PIK3CG
HSP90AB1	RPL5
MAPK1	HSF1
MAP3K1	RPS6
YWHAQ	IRS1
HSP90AA1	MYC
NCBP2	SFRS3
NFKB2	RPS10
GRB2	RPL27A
GSK3B	UBB
RAF1	MAP3K1
TGFBR1	PAK1
NCF1	TRAF4
ILK	SF3A1
VCL	GNB2L1
YWHAZ	HNRPL
MAP3K1	HSP90AB1
PABPC1	RNPS1
CDC2	UBA52
VAV1	GRB2
ILK	PXN
ZBTB16	CCDC85B
CRK	ATXN1
STAU1	RAC1
PTK2	PXN
RPS6	EIF3S2
YWHAZ	KIAA1377
RPL38	EPB41
PXN	HSPA8
GRB2	RPL36
MAPK1	VAV1
IKBKB	TUBB4
RPS6KB1	RPS6
YWHAG	PABPC1
ACTB	
RELA	RPL23
PAK1	HSPA8
NFKB2	PAK1
DUSP2	MAPK1
GSK3B	PAK1
MAP3K7IP1	HSP90AA1
RPS6	EIF3S3
PML	TRIM24
AKT1	TNFSF11
CASP8	ILK
IKBKG	RPLP2
YWHAZ	TP53
YWHAZ	PABPC1
PXN	HSPA5
AKT1	RAF1
YWHAG	SF3B3
RPS6	RPL23
BCL6	ZBTB16
TRAF2	TNIK
C1QBP	MAPK1
MAP3K14	TIMM50
CREBBP	CHUK
IRS1	MAPK1
MYC	HDAC1
TRIM24	NR3C1
RELA	HSP90AA1
MYC	RAF1
EGFR	MAP3K14
MAP3K14	HSP90AA1
IKBKE	EIF3S10
IGFBP5	FHL2
TNIK	CYCS
MAPKAPK2	PPP2CA
ASCC2	PIK3CG
NCBP2	HNRPU
MAP3K1	DDB1
CDK2	PABPC1
TRAF6	CDC37
PAK1	RELA
HSPA8	UBA52
DLST	ZBTB16
GRB2	RPL3
TBK1	RPS18
IKBKE	RPS9
GRB2	RPS25
PIK3R1	IFNAR1
RIPK3	HSPA1B
ACTB	RPL7
MAP3K3	HSPA1B
YWHAG	SFRS1
MAP2K1	RAF1
MAPK1	MAPK14
SMAD3	RPLP0
MAPK1	EPOR
GSK3B	SF3A1
LYAR	MAPKAPK2
CDK2	UBA52
PRKD1	IGF1R
MAP3K14	TUBB4
INSR	VAV1
GRB2	RPL18
MAPK14	MAPKAPK2
EGFR	YWHAZ
EWSR1	RPL31
YWHAZ	PAK1
PAK1	RAC1
BCL2	BAD
MAPKAPK2	MAPK14
RELA	HSPA1B
ACTB	RPS13
GSK3B	EWSR1
MAP3K7IP1	MAP3K14
RPS6	RPS7
AKT1	PDPK1
NCBP2	SF3B3
NFKBIA	RPL23
RAF1	PIN1
RPS25	RPS6
GRB2	RPS14
ACTB	RPS19
MAP3K1	IRS1
MAP3K1	YWHAE
YWHAQ	PABPC1
PXN	PTK2B
AKT1	IMPDH2
GRB2	GBP4
RPS28	RPS6
GRB2	RPL12
AKT1	GSK3B
ACTB	HSP90AA1
YWHAG	SFRS6
MAP3K14	CHUK
RPS3	RPS6
ACTB	RPS8
STAU1	ACTB
GRB2	"LOC388143;LOC389156;LOC728782;LOC729402;LOC728501"
ITGB1	YWHAB
IKBKE	PAK1
MAP3K1	TRAF2
IKBKB	MAP3K14
MYC	XPO5
HSP90AA1	PDPK1
AKT1	NR4A1
CHUK	HSPA1B
GRB2	HSPA1B
NCBP2	LSM2
MAPK1	SHC1
NFKB2	RPS19
PAK2	SLC36A2
NFKBIB	RPL35A
RPS6	RPLP0
ILK	EWSR1
SLC25A6	GNB2L1
IKBKE	RPS16
NFKB2	RPS27
MAP3K1	CDC37
TBK1	HSPA1B
"LOC441377;LOC442515;LOC728937;LOC728595;LOC729188"	RPS6
GRB2	RPL31
MCC	MAPKAPK2
GRB2	RPL26
ACTB	RPLP1
GSK3B	FUS
AKT1	HSP90AA1
VCL	CYCS
IKBKE	RPL36
HNRPK	NCBP2
CFTR	PIK3CG
UBA52	LYN
PRKD1	JUN
IKBKB	HSPA5
RPS5	RPS6
GRB2	EIF4A1
MAP3K1	TIMM50
BCL2L11	AKT1
PAFAH1B3	TRIM24
RAF1	MAP2K2
RNPS1	PABPC1
RPL36	RIPK2
PDPK1	RPS6KB1
IKBKE	RPL31
TNIK	IMPDH2
PXN	RPS6
HSP90AB1	HSPA1B
RPS26	RPS6
RPS6	EIF2S3
RPS27A	RPS6
AKT1	MYOG
RPS6	SLC36A2
NFKB2	HSP90AA1
RPS3A 	RPS6
CSK	PXN
PXN	YWHAZ
RPS6	RPL10
BCL6	JUN
PABPC1	HNRPD
NFKB2	RPS4X
CDK2	RPS16
MAPK1	PAK1
CHUK	CALM3
IKBKE	EIF4G1
CDH1	HSPA1B
RPS6	RPL32
BCL2	CDK2
MAP2K4	AKT1
NFKB2	RPS11
MAP3K3	UBA52
TBK1	HSP90AA1
RPL18A	MDK
VCL	LOC388524
AKT1	CYCS
GSK3B	IKBKAP
ATXN1	HSPA1B
MAPK1	SP1
PXN	SRC
TNFRSF1B	PIK3CG
MAP3K3	YWHAZ
JUN	STAT3
PXN	CLTC
MAP3K1	IKBKG
NFKB2	MAP3K14
ACTB	EIF3S2
MAP3K7IP2	RPS27
NFKB2	RPS15A
RPS13	RPS6
MAPK1	STAT5A
EPOR	SHC1
IKBKE	EIF3S7
GRB2	RPS28
