Gene	Connectivity.score	Relevance.score	Localisation.score	TS.score	Fc.score
ACTL6A	406	2	0.949688194326422	0.126168224299065	0.0419855919212443
ASCC3L1	340	0	0.9633069719011	0.336907497684175	0.00411980249671091
BCAR3	416	2	1.36120015126874	0.239382239382239	0.0201525121911438
BCL3	385	1	0.920875072798259	0.0626450116009281	0.196286112338578
BRCA1	361	1	0.76044392305504	0.116666666666667	0.0167789649038477
CALM1	340	0	1.08394548119781	0.336907497684175	0.0643425877328083
CALM3	371	0	1.04746248804186	0.185602450646699	0.114107484305384
CBL	358	1	0.692456469152187	0.0404624277456647	0.348173155458619
CCDC85B	313	1	0.887465763873334	0.701030927835052	-0.166646750002911
CDC2	357	1	0.577234612168056	0.336907497684175	0.00411980249671091
CDC6	405	0	0.533382123978745	0.0234375	-0.107587948697034
CDH1	402	1	0.364444498994829	0.00410958904109589	0.190056853294543
CEBPB	409	3	1.13828296294756	0.612998522895126	0.387185101524499
CHD4	372	1	0.946456736848353	0.345549738219895	0.280429244312546
CHUK	385	1	1.0273577364046	0.304123711340206	0.13481622359784
CREB1	421	2	0.930202197296143	0.0605427974947808	0.142763550097857
CREBBP	346	1	1.05874019580163	0.408268733850129	0.247951460289369
CRK	405	1	1.16753875488473	0.202564102564103	0.390035642873712
CSNK2A1	419	0	1.18033657659014	0.898678414096916	0.250731074780981
CTNNB1	347	1	1.05674163655758	0.184471687098657	0.161617753347071
DAXX	417	1	1.00632969202022	0.206738131699847	0.00411980249671091
DNAJB1	401	1	0.93458421200567	0.1328125	0.53023212706704
EEF1G	383	2	1.06384008556529	0.974883720930232	-0.134949399102626
EFTUD2	329	1	0.653197668033546	0.470198675496689	0.00338613251545074
EGFR	241	4	1.63013119502388	0.0416210295728368	0.793340617065195
EIF3S2	377	2	1.06919691839362	0.336907497684175	0.00411980249671091
EIF3S6	371	2	1.05814564303686	0.336907497684175	0.00411980249671091
EIF4A1	383	2	0.961047775609255	0.0932856356631811	0.0356101205657879
ELK1	438	1	1.11818554109599	0.21875	0.14085989546551
ELK4	419	1	1.07343417868075	0.159362549800797	0.229224107845182
EP300	413	1	0.941819755847344	0.226865671641791	0.457360128128683
ERBB2	410	1	1.07302271674436	0.120347394540943	-0.143329736204402
ERCC3	332	1	0.897571035977478	0.410810810810811	-0.0789541160582304
EWSR1	327	1	0.984559053688511	0.301652892561983	-0.0519913736077073
FHL3	434	1	1.66586675856315	14.3585365853659	0.0775591435588041
FOS	404	2	0.678239520272634	0.00265800354400473	0.0394219481527567
FUBP1	426	1	0.931843682810598	0.208448117539027	0.304355615465146
GAPDH	410	3	1.06414861855568	2.22954901123915	-0.075393171635624
GRB2	1	0	0.900298508146349	0.169056603773585	0.104194823297389
GTF2F1	265	1	0.870347718274174	0.277777777777778	-0.0251030799546274
HD	406	1	0.832954163509743	0.336907497684175	0.00411980249671091
HDAC1	319	0	0.855398645656637	0.0635876840696118	-0.0904762848164925
HIF1A	417	4	0.851934110839016	0.012420566146736	0.341948807163144
HMGA1	252	1	0.962725571396311	0.186193793540215	-0.0379279815863908
HNRPA0	342	2	0.872534388300021	0.336907497684175	0.00411980249671091
HNRPF	337	0	0.92058819690047	0.336907497684175	0.00411980249671091
HNRPH1	329	2	1.04901442995705	0.336907497684175	0.00411980249671091
HNRPK	302	1	1.04390799219553	0.336907497684175	0.00411980249671091
HRAS	401	2	1.13741029387383	0.628992628992629	-0.652515975424512
HSP90AA1	368	0	1.05597764190552	0.304336734693878	0.348988099123263
HSP90AB1	381	1	1.07628956585172	0.43587750660656	0.126874340966056
HSPA1B	233	1	0	0.152900582273021	0.00411980249671091
HSPA5	393	1	0.999134710972338	0.0482859531772575	0.0713805839537748
HSPA8	369	1	1.06332811541984	0.819010591232069	0.0982524040359914
HSPA9B	417	2	1.09959255400367	0.336907497684175	0.00411980249671091
HTATIP	380	1	0.908476655785102	0.336907497684175	0.00411980249671091
IKBKAP	433	2	0.997889043295774	0.161172161172161	0.135207912509509
IKBKB	385	2	1.04624536035644	0.420118343195266	-0.0148622701239086
IKBKG	293	1	0.898722023866577	0.336907497684175	-0.290609693313358
IRS1	392	3	1.80432203775122	0.640776699029126	0.0383953244322193
JUN	351	1	1.13482586814311	0.232105263157895	0.266346635742451
KHDRBS1	410	2	1.02264160384132	0.180952380952381	0.0355771433163358
KPNB1	387	1	1.02412344066617	0.288399222294232	0.2056446944055
KRT18	413	0	0.656939347785037	0.00199468085106383	-0.241421093415835
LYN	383	2	0.514756041554245	0.00647482014388489	0.296087002644533
MAP3K14	317	0	0.937166631884648	0.336907497684175	0.174833769360265
MAPK1	376	1	0.969067233409047	0.25964252116651	0.139817352273934
MAPK14	386	1	0.988073792314843	0.225283630470016	0.11744883964373
MAPK3	412	1	1.02567067645005	0.176747839748625	-0.300685081084438
MAPK8	407	1	1.07859615594031	0.373333333333333	0.352353702072814
MAX	418	1	1.05212811548214	0.250396196513471	-0.0267305958505017
MCM2	381	1	0.940483881204202	0.115196078431373	-0.0225855094415043
MCM7	378	1	0.954802680038381	0.129170230966638	-0.220178088921537
MED31	401	1	0.997112668708382	0.176136363636364	-0.201059476749284
MYC	167	2	0.885383771511844	0.0207197382769902	0.330781606477967
MYOD1	419	1	1.62581490078875	7.76923076923077	0.00411980249671091
MYOG	443	1	1.73456755048579	8.1025641025641	0.00411980249671091
NCK2	423	0	0.91818302525571	0.522277227722772	0.049828889578051
NCOA1	407	1	1.00521061031991	0.382059800664452	0.343338227331043
NCOR2	420	2	1.1126870910544	1.15	0.179430785031277
NFKB1	377	1	0.852569548006701	0.120331950207469	0.266358079108194
NONO	426	1	1.05173488272748	0.333535844471446	0.000197929616395557
NOVA2	420	2	1.10498115217443	0.0973451327433628	0.156384609076438
NR3C1	368	3	1.08100131642026	0.352140077821012	0.108442489385346
PAK1	309	1	1.09071042512869	0.367772511848341	0.12459749551207
PCBP1	325	2	1.05720714134781	1.19286403085824	-0.0505522657500844
PDGFRB	407	3	1.71526994865741	0.111414900888585	0.106202302305124
PIK3CG	395	1	0.590344819496641	0.00371747211895911	0.574929068270892
PIK3R1	356	0	1.12406089186112	0.307875894988067	0.182369255781227
PLK1	389	2	0.601453674514709	0.035031847133758	-0.372592940314771
PLSCR1	386	2	0.69419137529349	0.0440647482014389	0.146835842480702
PML	387	3	0.844787721397023	0.161931818181818	0.108396558807994
POLR2A	226	1	1.20075839042663	0.183497536945813	0.276417900359271
POLR2B	264	1	1.07281965292236	0.505962521294719	0.205190721203617
PPP1CA	416	1	0.967972135239844	0.296647691334598	-0.157212351515826
PREI3	420	0	1.09194465464507	0.336907497684175	0.00411980249671091
PRKCA	409	1	1.13805904168766	0.0950570342205323	0.323707397018348
