Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank
Fanconi anemia, complementation group A isoform a [Homo sapiens]	Protein	FANCA	15	1	0.619618753
Fanconi anemia, complementation group G [Homo sapiens]	Protein	FANCG	13	1	0.781666625
presenilin 1 isoform I-467 [Homo sapiens]	Protein	PSEN1	96	1	0.905352683
catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]	Protein	CTNNB1	109	1	1.056741637
catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein) [Homo sapiens]	Protein	CTNND2	11	0	0.650664382
plakophilin 4 isoform b [Homo sapiens]	Protein	PKP4	8	1	0.89436765
amyloid beta (A4) precursor protein-binding, family A, member 3 [Homo sapiens]	Protein	APBA3	2	1	0.815408555
amyloid beta A4 protein precursor, isoform a [Homo sapiens]	Protein	APP	84	3	1.136962775
ATP-binding cassette, sub-family C, member 8 [Homo sapiens]	Protein	ABCC8	5	1	1.556011509
ATP-binding cassette, sub-family C, member 9 isoform SUR2A [Homo sapiens]	Protein	ABCC9	5	2	2.574156338
nuclear mitotic apparatus protein 1 [Homo sapiens]	Protein	NUMA1	15	1	1.022419279
erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) isoform 3 [Homo sapiens]	Protein	EPB41	102	1	1.049611117
signal transducer and activator of transcription 5A [Homo sapiens]	Protein	STAT5A	38	1	1.035910561
mitogen-activated protein kinase 3 isoform 2 [Homo sapiens]	Protein	MAPK3	45	1	1.025670676
caspase 8 isoform A [Homo sapiens]	Protein	CASP8	63	2	0.666646666
Fas-associated via death domain [Homo sapiens]	Protein	FADD	47	0	0.924823061
CASP8 and FADD-like apoptosis regulator [Homo sapiens]	Protein	CFLAR	33	0	1.15036973
retinoblastoma 1 [Homo sapiens]	Protein	RB1	137	1	1.055091284
TATA box binding protein [Homo sapiens]	Protein	TBP	118	0	1.016802068
LSM10, U7 small nuclear RNA associated [Homo sapiens]	Protein	LSM10	15	2	0.692552457
histone deacetylase 3 [Homo sapiens]	Protein	HDAC3	64	1	1.048847916
retinoblastoma binding protein 4 [Homo sapiens]	Protein	RBBP4	51	2	0.944670102
retinoblastoma-like protein 1 isoform a [Homo sapiens]	Protein	RBL1	46	2	1.14870655
retinoblastoma-like 2 (p130) [Homo sapiens]	Protein	RBL2	24	1	1.029974069
transcription initiation factor IIIB isoform 1 [Homo sapiens]	Protein	BRF1	30	1	0.948075932
dishevelled 1 isoform a [Homo sapiens]	Protein	DVL1	16	3	1.091214936
polyglutamine binding protein 1 isoform 1 [Homo sapiens]	Protein	PQBP1	14	0	0.885378468
nuclear receptor coactivator 4 [Homo sapiens]	Protein	NCOA4	4	1	1.138482425
integrin alpha 2b preproprotein [Homo sapiens]	Protein	ITGA2B	18	2	0.836154861
Sp1 transcription factor [Homo sapiens]	Protein	SP1	77	0	1.064726366
presenilin 2 isoform 1 [Homo sapiens]	Protein	PSEN2	28	1	1.226153849
calcium and integrin binding 1 (calmyrin) [Homo sapiens]	Protein	CIB1	13	2	0.836664969
replication protein A1, 70kDa [Homo sapiens]	Protein	RPA1	85	1	1.017259482
RAD51 homolog protein isoform 1 [Homo sapiens]	Protein	RAD51	23	1	0.895950842
peroxisomal biogenesis factor 19 [Homo sapiens]	Protein	PEX19	24	1	1.067011198
phosphatidylinositol-binding clathrin assembly protein isoform 2 [Homo sapiens]	Protein	PICALM	10	2	1.086061712
clathrin heavy chain 1 [Homo sapiens]	Protein	CLTC	55	2	0.991371159
keratin 18 [Homo sapiens]	Protein	KRT18	43	0	0.656939348
keratin 19 [Homo sapiens]	Protein	KRT19	17	1	0.73209171
nuclear transcription factor Y, alpha isoform 1 [Homo sapiens]	Protein	NFYA	16	1	0.999134609
TNF receptor-associated factor 2 [Homo sapiens]	Protein	TRAF2	193	0	0.870915425
mitogen-activated protein kinase kinase kinase kinase 3 [Homo sapiens]	Protein	MAP4K3	6	1	1.426098527
HIV-1 Tat interactive protein, 60kDa isoform 2 [Homo sapiens]	Protein	HTATIP	78	1	0.908476656
interleukin 9 receptor isoform 1 precursor [Homo sapiens]	Protein	IL9R	7	2	0.850070165
MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A) [Homo sapiens]	Protein	MEF2A	20	1	1.398937371
protein phosphatase 1, regulatory subunit 15A [Homo sapiens]	Protein	PPP1R15A	13	1	0.948594853
fibrillin 2 precursor [Homo sapiens]	Protein	FBN2	5	1	0.918838496
mitogen activated protein kinase kinase kinase 1 [Mus musculus]	Protein	Map3k1 [Mus musculus]	3	0	0
breast cancer anti-estrogen resistance 1 [Homo sapiens]	Protein	BCAR1	35	1	0.743687435
paxillin [Homo sapiens]	Protein	PXN	145	1	1.103107383
vinculin isoform VCL [Homo sapiens]	Protein	VCL	111	1	1.153393046
wingless-type MMTV integration site family, member 3A [Homo sapiens]	Protein	WNT3A	4	1	0.245129569
wingless-type MMTV integration site family, member 5A precursor [Homo sapiens]	Protein	WNT5A	4	3	1.590595904
frizzled 1 [Homo sapiens]	Protein	FZD1	6	1	1.298678284
ATPase, Cu++ transporting, beta polypeptide isoform a [Homo sapiens]	Protein	ATP7B	5	1	0.75781965
antioxidant protein 1 [Homo sapiens]	Protein	ATOX1	6	1	0.995853499
protein kinase D1 [Homo sapiens]	Protein	PRKD1	17	1	1.272317327
Bruton agammaglobulinemia tyrosine kinase [Homo sapiens]	Protein	BTK	12	1	0.559203991
peroxisome biogenesis factor 10 isoform 2 [Homo sapiens]	Protein	PEX10	6	1	1.073806112
peroxisomal biogenesis factor 5 [Homo sapiens]	Protein	PEX5	13	1	1.222134796
stomatin isoform a [Homo sapiens]	Protein	STOM	5	2	1.132207601
solute carrier family 2 (facilitated glucose transporter), member 1 [Homo sapiens]	Protein	SLC2A1	13	0	0.72050992
Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens]	Protein	CBL	98	1	0.692456469
WW domain binding protein 11 [Homo sapiens]	Protein	WBP11	11	1	1.064059976
TBP-associated factor 4 [Homo sapiens]	Protein	TAF4	42	0	0.916501659
TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20 kD [Homo sapiens]	Protein	TAF12	44	0	1.013611727
inositol 1,4,5-triphosphate receptor, type 3 [Homo sapiens]	Protein	ITPR3	10	3	0.650832414
transient receptor potential cation channel, subfamily C, member 3 [Homo sapiens]	Protein	TRPC3	10	0	1.143855056
BCL2-like 1 isoform 2 [Homo sapiens]	Protein	BCL2L1	66	2	0.952755111
protein phosphatase 2, regulatory subunit B'', beta isoform 1 [Homo sapiens]	Protein	PPP2R3B	4	1	1.168905515
lymphocyte-specific protein tyrosine kinase [Homo sapiens]	Protein	LCK	80	1	0.41037648
dishevelled 3 [Homo sapiens]	Protein	DVL3	27	1	1.228372836
protein phosphatase 1A isoform 1 [Homo sapiens]	Protein	PPM1A	22	1	1.148014362
aryl hydrocarbon receptor [Homo sapiens]	Protein	AHR	26	2	0.862945326
microtubule-associated protein, RP/EB family, member 3 [Homo sapiens]	Protein	MAPRE3	9	2	1.858230871
adenomatosis polyposis coli 2 [Homo sapiens]	Protein	APC2	7	1	0.857847045
microtubule-associated protein, RP/EB family, member 1 [Homo sapiens]	Protein	MAPRE1	27	2	0.952204254
eukaryotic translation initiation factor 2-alpha kinase 2 [Homo sapiens]	Protein	EIF2AK2	26	1	1.028060128
tumor protein p73 [Homo sapiens]	Protein	TP73	22	0	1.073277858
E1A binding protein p300 [Homo sapiens]	Protein	EP300	45	1	0.941819756
tumor protein p53 [Homo sapiens]	Protein	TP53	270	0	1.045364153
CREB binding protein [Homo sapiens]	Protein	CREBBP	112	1	1.058740196
minichromosome maintenance protein 7 isoform 1 [Homo sapiens]	Protein	MCM7	78	1	0.95480268
endoplasmic reticulum to nucleus signalling 1 isoform 1 [Homo sapiens]	Protein	ERN1	10	1	1.036528359
protein tyrosine phosphatase, non-receptor type 11 [Homo sapiens]	Protein	PTPN11	87	2	1.131899627
fibroblast growth factor receptor substrate 2 [Homo sapiens]	Protein	FRS2	35	1	1.424994824
kappa B-ras 1 [Homo sapiens]	Protein	NKIRAS1	8	1	0.887109055
NFKB inhibitor interacting Ras-like 2 [Homo sapiens]	Protein	NKIRAS2	3	1	1.165555047
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Homo sapiens]	Protein	NFKBIA	79	1	1.03956971
MAD2 homolog [Homo sapiens]	Protein	MAD2L2	11	1	0.679507341
REV3-like, catalytic subunit of DNA polymerase zeta [Homo sapiens]	Protein	REV3L	10	2	1.09354105
MAD2-like 1 [Homo sapiens]	Protein	MAD2L1	54	1	0.841364325
protein tyrosine phosphatase, non-receptor type 6 isoform 1 [Homo sapiens]	Protein	PTPN6	77	2	0.626133443
paired immunoglobulin-like type 2 receptor alpha isoform 1 precursor [Homo sapiens]	Protein	PILRA	4	1	0.624702643
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	Protein	YWHAQ	79	2	1.016885865
FK506 binding protein 12-rapamycin associated protein 1 [Homo sapiens]	Protein	FRAP1	16	1	1.110841969
vav 1 oncogene [Homo sapiens]	Protein	VAV1	63	1	0.663525487
Rho GDP dissociation inhibitor (GDI) alpha [Homo sapiens]	Protein	ARHGDIA	44	2	0.816783041
Rho GDP dissociation inhibitor (GDI) beta [Homo sapiens]	Protein	ARHGDIB	27	4	0.92335137
RAD52 homolog isoform beta [Homo sapiens]	Protein	RAD52	9	1	1.109198481
histone deacetylase 1 [Homo sapiens]	Protein	HDAC1	137	0	0.855398646
death-associated protein 6 [Homo sapiens]	Protein	DAXX	39	1	1.006329692
phospholipase C gamma 1 isoform a [Homo sapiens]	Protein	PLCG1	65	3	0.85566898
estrogen receptor 2 (ER beta) [Homo sapiens]	Protein	ESR2	30	1	1.011516103
filamin 1 (actin-binding protein-280) [Homo sapiens]	Protein	FLNA	20	0	0.903995421
v-ets erythroblastosis virus E26 oncogene homolog 1 [Homo sapiens]	Protein	ETS1	21	2	1.086821046
dopamine receptor D1 interacting protein [Homo sapiens]	Protein	DRD1IP	2	1	1.191296443
