Gene	Connectivity.score	Relevance.score	Localisation.score	TS.score	Fc.score
ABL1	394	1	1.02715263593363	0.213793103448276	0.25078593429697
ACTB	329	4	1.05478451110812	0.0872955855941015	-0.137416179104915
ACTG1	401	3	1.01180278964575	0.101002543767769	-0.21818739948342
ACVR1	398	2	1.10592927368155	0.229468599033816	0.00349193995718718
AKT1	382	1	0.997782360537952	0.342592592592593	-0.121285677021961
APC	401	1	1.36935023640544	0.0814606741573034	0.272032460054758
ASCC2	423	1	0.932796231850522	0.389247311827957	-0.13274555334483
ATXN1	413	2	1.21147687048589	0.215339233038348	0.314996857449663
BAD	431	1	0.929095669949528	0.36036036036036	-0.500660291367259
BCL2	388	0	1.06367445278084	0.249544626593807	0.248790735150226
BCL2L11	444	1	1.06430868812432	0.132575757575758	0.164434841858167
BCL3	385	1	0.920875072798259	0.0626450116009281	0.196286112338578
BCL6	357	1	1.25386422226374	1.34635691657867	0.331680765208046
C1QBP	426	2	1.07921442146415	0.511160714285714	0.0817686642249968
CALM1	340	0	1.08394548119781	0.336907497684175	0.0643425877328083
CALM3	371	0	1.04746248804186	0.185602450646699	0.114107484305384
CASP8	394	2	0.666646665526774	0.0145310435931308	0.219271302623712
CBL	358	1	0.692456469152187	0.0404624277456647	0.348173155458619
CCDC85B	313	1	0.887465763873334	0.701030927835052	-0.166646750002911
CCNA2	347	2	0.687141720958421	0.0125523012552301	-0.190475696332523
CD4	269	1	0.793300085051088	0.0101966496722505	-0.00733163176526219
CDC2	357	1	0.577234612168056	0.336907497684175	0.00411980249671091
CDC25A	427	2	0.802132233243438	0.0153846153846154	-0.151496879055442
CDC37	418	2	1.0779620552854	1.16126350789692	-0.30216893493013
CDH1	402	1	0.364444498994829	0.00410958904109589	0.190056853294543
CDK2	209	2	0.91775439560499	0.0617647058823529	0.113948740766626
CDKN1A	385	3	1.02508502165066	0.015224358974359	0.528338031190318
CFTR	336	2	0.678308359662815	0	0.390289657635275
CHUK	385	1	1.0273577364046	0.304123711340206	0.13481622359784
CLTC	401	2	0.991371158588165	0.181318681318681	0.210687884091361
CREBBP	346	1	1.05874019580163	0.408268733850129	0.247951460289369
CRK	405	1	1.16753875488473	0.202564102564103	0.390035642873712
CRKL	412	2	1.07880000825351	0.596923076923077	0.106177645375771
CSK	431	1	0.640194265902981	0.0379289584587598	-0.226201195832933
CSNK2A1	419	0	1.18033657659014	0.898678414096916	0.250731074780981
CTNNB1	347	1	1.05674163655758	0.184471687098657	0.161617753347071
CUL1	413	1	1.12304638361759	0.299024918743229	0.199450166729024
CYCS	410	2	1.08903136873158	0.5	0.148579808901904
DDB1	406	1	1.04069553259557	0.315525876460768	0.181166292240357
DISC1	454	1	0.789731777495175	0.0615384615384615	0.365787291573856
DLST	324	1	1.17098317166715	0.692204301075269	-0.0309292403740972
DUSP2	432	2	0.659839800540394	0.00311203319502075	0.366361764730581
EFTUD2	329	1	0.653197668033546	0.470198675496689	0.00338613251545074
EGFR	241	4	1.63013119502388	0.0416210295728368	0.793340617065195
EIF1B	289	2	1.0756202129478	0.226897069872276	-0.161618672684021
EIF2S2	374	1	1.01911492538169	0.740331491712707	0.019874480153874
EIF2S3	382	2	1.02359000244598	0.251351351351351	0.0928952295505792
EIF3S10	381	3	1.04756326153085	0.336907497684175	0.00411980249671091
EIF3S12	387	2	1.06799384832282	0.336907497684175	0.00411980249671091
EIF3S2	377	2	1.06919691839362	0.336907497684175	0.00411980249671091
EIF3S3	343	1	1.02225480922266	0.336907497684175	0.00411980249671091
EIF3S6	371	2	1.05814564303686	0.336907497684175	0.00411980249671091
EIF3S7	390	2	1.03418851536375	0.336907497684175	0.00411980249671091
EIF3S8	391	0	0.607628212803005	0.336907497684175	0.00411980249671091
EIF3S9	396	2	1.03270368155066	0.336907497684175	0.00411980249671091
EIF4A1	383	2	0.961047775609255	0.0932856356631811	0.0356101205657879
EIF4A2	394	1	1.06151185136893	0.465214207250091	-0.027237587363661
EIF4E	363	1	1.09615049454385	0.322314049586777	-0.021531792538434
EIF4G1	375	2	1.09020405640399	0.953574060427414	0.221314376824384
EPB41	354	1	1.04961111729024	0.175090252707581	0.279843794323257
EPOR	421	2	0.778440028524573	0.039568345323741	-0.604920255523157
ETF1	363	2	0.908200559802995	0.251461988304094	0.111887476498586
EWSR1	327	1	0.984559053688511	0.301652892561983	-0.0519913736077073
FHL2	436	2	1.45571871934649	0.055447848003102	0.152304047400427
FRAP1	440	1	1.11084196874155	0.336907497684175	0.00411980249671091
FTS	433	2	1.26158701323893	0.336907497684175	0.00411980249671091
FTSJ1	350	1	1.09090462111023	0.337078651685393	-0.217070483324208
FUS	328	1	1.00398951387282	0.407139991977537	-0.102636972062796
GAPDH	410	3	1.06414861855568	2.22954901123915	-0.075393171635624
GBP4	340	2	1.03962583157423	0.114285714285714	0.0960487934002263
GEMIN4	419	1	0.84536537089547	0.0931174089068826	-0.0979325005920121
GH1	370	0	1.03003034591654	0	-0.431018507656009
GNB2L1	391	1	1.03892910418146	0.252602389078498	-0.442378989624691
GRB2	1	0	0.900298508146349	0.169056603773585	0.104194823297389
GSK3B	374	1	1.16170011131802	0.258258258258258	0.3709089293341
GSTK1	358	3	1.03740422461335	0.366264178558361	-0.222107996563199
HDAC1	319	0	0.855398645656637	0.0635876840696118	-0.0904762848164925
HDAC2	395	2	1.04651377090942	0.335625859697387	-0.0577516669157369
HDAC4	429	1	1.29063652370303	0.646341463414634	0.0867242757910359
HGS	416	1	0.907297519522233	0.195086705202312	-0.306659442796967
HIF1A	417	4	0.851934110839016	0.012420566146736	0.341948807163144
HLA-B	177	0	0.951782688234401	0.0713841368584759	0.00411980249671091
HNRPD	331	1	1.00449014329947	0.336907497684175	0.00411980249671091
HNRPK	302	1	1.04390799219553	0.336907497684175	0.00411980249671091
HNRPL	323	2	1.04828695648573	0.336907497684175	0.00411980249671091
HNRPU	324	1	1.03406582719153	0.336907497684175	0.00411980249671091
HSF1	426	2	1.1970291340735	0.482723577235772	-0.0577557347480119
HSP90AA1	368	0	1.05597764190552	0.304336734693878	0.348988099123263
HSP90AB1	381	1	1.07628956585172	0.43587750660656	0.126874340966056
HSPA1B	233	1	0	0.152900582273021	0.00411980249671091
HSPA5	393	1	0.999134710972338	0.0482859531772575	0.0713805839537748
HSPA8	369	1	1.06332811541984	0.819010591232069	0.0982524040359914
IFNAR1	436	3	0.843346200442064	0.314893617021277	0.232118864694449
IGF1	438	4	1.56476804169014	0.023643949930459	0.597529228138217
IGF1R	408	2	1.11045485460702	0.186170212765957	0.242612860593286
IGFBP5	440	1	2.00010537233584	0.179343128781331	0.439202074613418
IGFBP6	451	1	1.53521011092666	0.0870083432657926	-0.425425067817579
IGSF1	449	1	0.845809050577825	0.0265486725663717	0.0300392763493734
IKBKAP	433	2	0.997889043295774	0.161172161172161	0.135207912509509
IKBKB	385	2	1.04624536035644	0.420118343195266	-0.0148622701239086
IKBKE	118	1	0.618835788679649	0.336907497684175	-0.0743048609556388
IKBKG	293	1	0.898722023866577	0.336907497684175	-0.290609693313358
IL2RB	433	1	0.613437001278398	0.00829875518672199	-0.0789245688766736
ILK	383	0	1.05592459111165	0.108595988538682	-0.158952340250097
IMPDH2	444	0	1.01363327584673	0.241088788075178	-0.193297881074135
INSR	410	1	1.17454114020087	0.260714285714286	0.0155330720988947
IRAK1	412	2	0.833996634569609	0.251920122887865	-0.070715396934048
IRS1	392	3	1.80432203775122	0.640776699029126	0.0383953244322193
ITGB1	337	3	1.12030291344969	0.122341641893437	0.198409726387458
ITGB4BP	374	2	0.99242501993917	0.336907497684175	0.00411980249671091
JUN	351	1	1.13482586814311	0.232105263157895	0.266346635742451
KIAA1377	380	1	0.494708051364405	0.336907497684175	0.174438792719306
KRTAP4-12	373	1	0.916234010490624	0	0.00411980249671091
LCK	378	1	0.410376480066743	0.00454132606721163	-0.176333349190189
LIMS1	421	0	1.1810624161384	0.157950726908679	0.287688690376978
LOC388344	361	0	1.03867475061157	0.336907497684175	0.00411980249671091
LOC388524	340	1	0	0.336907497684175	0.00411980249671091
LOC393079	360	0	0	0.336907497684175	0.00411980249671091
LSM2	338	1	0.808478543939237	0.355932203389831	0.00411980249671091
