Gene	Connectivity.score	Relevance.score	Localisation.score
ABL1	61	1	1.02715263593363
ACTB	126	4	1.05478451110812
ACTG1	54	3	1.01180278964575
ACVR1	57	2	1.10592927368155
AKT1	73	1	0.997782360537952
APC	54	1	1.36935023640544
ASCC2	32	1	0.932796231850522
ATXN1	42	2	1.21147687048589
BAD	24	1	0.929095669949528
BCL2	67	0	1.06367445278084
BCL2L11	11	1	1.06430868812432
BCL3	70	1	0.920875072798259
BCL6	98	1	1.25386422226374
C1QBP	29	2	1.07921442146415
CALM1	115	0	1.08394548119781
CALM3	84	0	1.04746248804186
CASP8	61	2	0.666646665526774
CBL	97	1	0.692456469152187
CCDC85B	142	1	0.887465763873334
CCNA2	108	2	0.687141720958421
CD4	186	1	0.793300085051088
CDC2	98	1	0.577234612168056
CDC25A	28	2	0.802132233243438
CDC37	37	2	1.0779620552854
CDH1	53	1	0.364444498994829
CDK2	246	2	0.91775439560499
CDKN1A	70	3	1.02508502165066
CFTR	119	2	0.678308359662815
CHUK	70	1	1.0273577364046
CLTC	54	2	0.991371158588165
CREBBP	109	1	1.05874019580163
CRK	50	1	1.16753875488473
CRKL	43	2	1.07880000825351
CSK	24	1	0.640194265902981
CSNK2A1	36	0	1.18033657659014
CTNNB1	108	1	1.05674163655758
CUL1	42	1	1.12304638361759
CYCS	45	2	1.08903136873158
DDB1	49	1	1.04069553259557
DISC1	1	1	0.789731777495175
DLST	131	1	1.17098317166715
DUSP2	23	2	0.659839800540394
EFTUD2	126	1	0.653197668033546
EGFR	214	4	1.63013119502388
EIF1B	166	2	1.0756202129478
EIF2S2	81	1	1.01911492538169
EIF2S3	73	2	1.02359000244598
EIF3S10	74	3	1.04756326153085
EIF3S12	68	2	1.06799384832282
EIF3S2	78	2	1.06919691839362
EIF3S3	112	1	1.02225480922266
EIF3S6	84	2	1.05814564303686
EIF3S7	65	2	1.03418851536375
EIF3S8	64	0	0.607628212803005
EIF3S9	59	2	1.03270368155066
EIF4A1	72	2	0.961047775609255
EIF4A2	61	1	1.06151185136893
EIF4E	92	1	1.09615049454385
EIF4G1	80	2	1.09020405640399
EPB41	101	1	1.04961111729024
