Protein	Gene
insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	IGF1 [Homo sapiens]
insulin-like growth factor 1 receptor precursor [Homo sapiens]	IGF1R [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	PIK3R1 [Homo sapiens]
insulin receptor substrate 1 [Homo sapiens]	IRS1 [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	PDPK1 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	AKT1 [Homo sapiens]
tuberous sclerosis 1 protein isoform 2 [Homo sapiens]	TSC1 [Homo sapiens]
tuberous sclerosis 2 isoform 1 [Homo sapiens]	TSC2 [Homo sapiens]
Ras homolog enriched in brain [Homo sapiens]	RHEB [Homo sapiens]
FK506 binding protein 12-rapamycin associated protein 1 [Homo sapiens]	FRAP1 [Homo sapiens]
raptor [Homo sapiens]	raptor [Homo sapiens]
rapamycin-insensitive companion of mTOR [Homo sapiens]	RICTOR [Homo sapiens]
eukaryotic translation initiation factor 4B pseudogene [Homo sapiens]	EIF4BP [Homo sapiens]
ribosomal protein S6 kinase, 70kDa, polypeptide 1 [Homo sapiens]	RPS6KB1 [Homo sapiens]
