Protein	Connectivity score	Relevance score	Localisation score
v-abl Abelson murine leukemia viral oncogene homolog 1 isoform a [Homo sapiens]	61	1	1.02715263593363
beta actin [Homo sapiens]	126	4	1.05478451110812
actin, gamma 1 propeptide [Homo sapiens]	54	3	1.01180278964575
activin A type I receptor precursor [Homo sapiens]	57	2	1.10592927368155
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	73	1	0.997782360537952
adenomatosis polyposis coli [Homo sapiens]	54	1	1.36935023640544
activating signal cointegrator 1 complex subunit 2 [Homo sapiens]	32	1	0.932796231850522
ataxin 1 [Homo sapiens]	42	2	1.21147687048589
BCL2-antagonist of cell death protein [Homo sapiens]	24	1	0.929095669949528
B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	67	0	1.06367445278084
BCL2-like 11 isoform 6 [Homo sapiens]	11	1	1.06430868812432
B-cell CLL/lymphoma 3 [Homo sapiens]	70	1	0.920875072798259
B-cell lymphoma 6 protein [Homo sapiens]	98	1	1.25386422226374
complement component 1, q subcomponent binding protein precursor [Homo sapiens]	29	2	1.07921442146415
calmodulin 1 [Homo sapiens]	115	0	1.08394548119781
calmodulin 3 [Homo sapiens]	84	0	1.04746248804186
caspase 8 isoform A [Homo sapiens]	61	2	0.666646665526774
Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens]	97	1	0.692456469152187
hepatitis delta antigen-interacting protein A [Homo sapiens]	142	1	0.887465763873334
cyclin A [Homo sapiens]	108	2	0.687141720958421
CD4 antigen precursor [Homo sapiens]	186	1	0.793300085051088
cell division cycle 2 protein isoform 1 [Homo sapiens]	98	1	0.577234612168056
cell division cycle 25A isoform a [Homo sapiens]	28	2	0.802132233243438
CDC37 homolog [Homo sapiens]	37	2	1.0779620552854
cadherin 1, type 1 preproprotein [Homo sapiens]	53	1	0.364444498994829
cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	246	2	0.91775439560499
cyclin-dependent kinase inhibitor 1A [Homo sapiens]	70	3	1.02508502165066
cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens]	119	2	0.678308359662815
conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	70	1	1.0273577364046
clathrin heavy chain 1 [Homo sapiens]	54	2	0.991371158588165
CREB binding protein [Homo sapiens]	109	1	1.05874019580163
v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	50	1	1.16753875488473
v-crk sarcoma virus CT10 oncogene homolog (avian)-like [Homo sapiens]	43	2	1.07880000825351
c-src tyrosine kinase [Homo sapiens]	24	1	0.640194265902981
casein kinase II alpha 1 subunit isoform a [Homo sapiens]	36	0	1.18033657659014
catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]	108	1	1.05674163655758
cullin 1 [Homo sapiens]	42	1	1.12304638361759
cytochrome c [Homo sapiens]	45	2	1.08903136873158
damage-specific DNA binding protein 1 [Homo sapiens]	49	1	1.04069553259557
disrupted in schizophrenia 1 isoform Lv [Homo sapiens]	1	1	0.789731777495175
dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Homo sapiens]	131	1	1.17098317166715
