Gene	Connectivity.score	Relevance.score	Localisation.score	TS.score	Fc.score
ABL1	61	1	1.02715263593363	0.213793103448276	0.25078593429697
ACTB	126	4	1.05478451110812	0.0872955855941015	-0.137416179104915
ACTG1	54	3	1.01180278964575	0.101002543767769	-0.21818739948342
ACVR1	57	2	1.10592927368155	0.229468599033816	0.00349193995718718
AKT1	73	1	0.997782360537952	0.342592592592593	-0.121285677021961
APC	54	1	1.36935023640544	0.0814606741573034	0.272032460054758
ASCC2	32	1	0.932796231850522	0.389247311827957	-0.13274555334483
ATXN1	42	2	1.21147687048589	0.215339233038348	0.314996857449663
BAD	24	1	0.929095669949528	0.36036036036036	-0.500660291367259
BCL2	67	0	1.06367445278084	0.249544626593807	0.248790735150226
BCL2L11	11	1	1.06430868812432	0.132575757575758	0.164434841858167
BCL3	70	1	0.920875072798259	0.0626450116009281	0.196286112338578
BCL6	98	1	1.25386422226374	1.34635691657867	0.331680765208046
C1QBP	29	2	1.07921442146415	0.511160714285714	0.0817686642249968
CALM1	115	0	1.08394548119781	0.336907497684175	0.0643425877328083
CALM3	84	0	1.04746248804186	0.185602450646699	0.114107484305384
CASP8	61	2	0.666646665526774	0.0145310435931308	0.219271302623712
CBL	97	1	0.692456469152187	0.0404624277456647	0.348173155458619
CCDC85B	142	1	0.887465763873334	0.701030927835052	-0.166646750002911
CCNA2	108	2	0.687141720958421	0.0125523012552301	-0.190475696332523
CD4	186	1	0.793300085051088	0.0101966496722505	-0.00733163176526219
CDC2	98	1	0.577234612168056	0.336907497684175	0.00411980249671091
CDC25A	28	2	0.802132233243438	0.0153846153846154	-0.151496879055442
CDC37	37	2	1.0779620552854	1.16126350789692	-0.30216893493013
CDH1	53	1	0.364444498994829	0.00410958904109589	0.190056853294543
CDK2	246	2	0.91775439560499	0.0617647058823529	0.113948740766626
CDKN1A	70	3	1.02508502165066	0.015224358974359	0.528338031190318
CFTR	119	2	0.678308359662815	0	0.390289657635275
CHUK	70	1	1.0273577364046	0.304123711340206	0.13481622359784
CLTC	54	2	0.991371158588165	0.181318681318681	0.210687884091361
CREBBP	109	1	1.05874019580163	0.408268733850129	0.247951460289369
CRK	50	1	1.16753875488473	0.202564102564103	0.390035642873712
CRKL	43	2	1.07880000825351	0.596923076923077	0.106177645375771
CSK	24	1	0.640194265902981	0.0379289584587598	-0.226201195832933
CSNK2A1	36	0	1.18033657659014	0.898678414096916	0.250731074780981
CTNNB1	108	1	1.05674163655758	0.184471687098657	0.161617753347071
CUL1	42	1	1.12304638361759	0.299024918743229	0.199450166729024
CYCS	45	2	1.08903136873158	0.5	0.148579808901904
DDB1	49	1	1.04069553259557	0.315525876460768	0.181166292240357
DISC1	1	1	0.789731777495175	0.0615384615384615	0.365787291573856
DLST	131	1	1.17098317166715	0.692204301075269	-0.0309292403740972
DUSP2	23	2	0.659839800540394	0.00311203319502075	0.366361764730581
EFTUD2	126	1	0.653197668033546	0.470198675496689	0.00338613251545074
EGFR	214	4	1.63013119502388	0.0416210295728368	0.793340617065195
EIF1B	166	2	1.0756202129478	0.226897069872276	-0.161618672684021
